"","Symbol","Name","Sector"
"1","MMM","3M Co.","Industrials"
"2","ACE","ACE Limited","Financials"
"3","ABT","Abbott Laboratories","Health Care"
"4","ANF","Abercrombie & Fitch Company A","Consumer Discretionary"
"5","ACN","Accenture","Information Technology"
"6","ADBE","Adobe Systems Inc","Information Technology"
"7","AMD","Advanced Micro Devices","Information Technology"
"8","AES","AES Corp","Utilities"
"9","AFL","AFLAC Inc","Financials"
"10","A","Agilent Technologies Inc","Health Care"
"11","GAS","AGL Resources Inc.","Utilities"
"12","APD","Air Products & Chemicals Inc","Materials"
"13","AKAM","Akamai Technologies Inc","Information Technology"
"14","AA","Alcoa Inc","Materials"
"15","ATI","Allegheny Technologies Inc","Materials"
"16","ALL","Allstate Corp","Financials"
"17","ALTR","Altera Corp","Information Technology"
"18","MO","Altria Group Inc","Consumer Staples"
"19","AMZN","Amazon.com Inc","Consumer Discretionary"
"20","AEE","Ameren Corp","Utilities"
"21","AEP","American Electric Power","Utilities"
"22","AXP","American Express Co","Financials"
"23","AIG","American Intl Group Inc","Financials"
"24","AMT","American Tower Corp A","Financials"
"25","AMP","Ameriprise Financial","Financials"
"26","ABC","AmerisourceBergen Corp","Health Care"
"27","AMGN","Amgen Inc","Health Care"
"28","APH","Amphenol Corp A","Industrials"
"29","ADI","Analog Devices Inc","Information Technology"
"30","AON","Aon plc","Financials"
"31","APA","Apache Corporation","Energy"
"32","AIV","Apartment Investment & Mgmt","Financials"
"33","AAPL","Apple Inc.","Information Technology"
"34","AMAT","Applied Materials Inc","Information Technology"
"35","ADM","Archer-Daniels-Midland Co","Consumer Staples"
"36","AIZ","Assurant Inc","Financials"
"37","T","AT&T Inc","Telecommunications Services"
"38","ADSK","Autodesk Inc","Information Technology"
"39","ADP","Automatic Data Processing","Information Technology"
"40","AN","AutoNation Inc","Consumer Discretionary"
"41","AZO","AutoZone Inc","Consumer Discretionary"
"42","AVB","AvalonBay Communities, Inc.","Financials"
"43","AVY","Avery Dennison Corp","Industrials"
"44","BHI","Baker Hughes Inc","Energy"
"45","BLL","Ball Corp","Materials"
"46","BAC","Bank of America Corp","Financials"
"47","BK","The Bank of New York Mellon Corp.","Financials"
"48","BAX","Baxter International Inc.","Health Care"
"49","BDX","Becton Dickinson","Health Care"
"50","BBBY","Bed Bath & Beyond","Consumer Discretionary"
"51","BMS","Bemis Company","Materials"
"52","BBY","Best Buy Co. Inc.","Consumer Discretionary"
"53","BIG","Big Lots Inc.","Consumer Discretionary"
"54","BIIB","BIOGEN IDEC Inc.","Health Care"
"55","BLK","BlackRock","Financials"
"56","HRB","Block H&R","Consumer Discretionary"
"57","BMC","BMC Software","Information Technology"
"58","BA","Boeing Company","Industrials"
"59","BWA","BorgWarner","Consumer Discretionary"
"60","BXP","Boston Properties","Financials"
"61","BSX","Boston Scientific","Health Care"
"62","BMY","Bristol-Myers Squibb","Health Care"
"63","CHRW","C. H. Robinson Worldwide","Industrials"
"64","CPB","Campbell Soup","Consumer Staples"
"65","COF","Capital One Financial","Financials"
"66","CAH","Cardinal Health Inc.","Health Care"
"67","KMX","Carmax Inc","Consumer Discretionary"
"68","CCL","Carnival Corp.","Consumer Discretionary"
"69","CAT","Caterpillar Inc.","Industrials"
"70","CNP","CenterPoint Energy","Utilities"
"71","CERN","Cerner","Health Care"
"72","CF","CF Industries Holdings Inc","Materials"
"73","SCHW","Charles Schwab","Financials"
"74","CVX","Chevron Corp.","Energy"
"75","CMG","Chipotle Mexican Grill","Consumer Discretionary"
"76","CB","Chubb Corp.","Financials"
"77","CI","CIGNA Corp.","Health Care"
"78","CINF","Cincinnati Financial","Financials"
"79","CTAS","Cintas Corporation","Industrials"
"80","CSCO","Cisco Systems","Information Technology"
"81","C","Citigroup Inc.","Financials"
"82","CTXS","Citrix Systems","Information Technology"
"83","CLF","Cliffs Natural Resources","Materials"
"84","CLX","Clorox Co.","Consumer Staples"
"85","CME","CME Group Inc.","Financials"
"86","CMS","CMS Energy","Utilities"
"87","KO","Coca Cola Co.","Consumer Staples"
"88","CTSH","Cognizant Technology Solutions","Information Technology"
"89","CL","Colgate-Palmolive","Consumer Staples"
"90","CMCSA","Comcast Corp.","Consumer Discretionary"
"91","CMA","Comerica Inc.","Financials"
"92","CAG","ConAgra Foods Inc.","Consumer Staples"
"93","COP","ConocoPhillips","Energy"
"94","CNX","CONSOL Energy Inc.","Energy"
"95","ED","Consolidated Edison","Utilities"
"96","STZ","Constellation Brands","Consumer Staples"
"97","GLW","Corning Inc.","Industrials"
"98","COST","Costco Co.","Consumer Staples"
"99","CCI","Crown Castle International Corp.","Telecommunications Services"
"100","CSX","CSX Corp.","Industrials"
"101","CMI","Cummins Inc.","Industrials"
"102","CVS","CVS Caremark Corp.","Consumer Staples"
"103","DHI","D. R. Horton","Consumer Discretionary"
"104","DHR","Danaher Corp.","Industrials"
"105","DRI","Darden Restaurants","Consumer Discretionary"
"106","DVA","DaVita Inc.","Health Care"
"107","DE","Deere & Co.","Industrials"
"108","DELL","Dell Inc.","Information Technology"
"109","XRAY","Dentsply International","Health Care"
"110","DVN","Devon Energy Corp.","Energy"
"111","DFS","Discover Financial Services","Financials"
"112","DISCA","Discovery Communications","Consumer Discretionary"
"113","DLTR","Dollar Tree","Consumer Discretionary"
"114","D","Dominion Resources","Utilities"
"115","RRD","Donnelley (R.R.) & Sons","Industrials"
"116","DOV","Dover Corp.","Industrials"
"117","DTE","DTE Energy Co.","Utilities"
"118","DD","Du Pont (E.I.)","Materials"
"119","DUK","Duke Energy","Utilities"
"120","EMN","Eastman Chemical","Materials"
"121","ETN","Eaton Corp.","Industrials"
"122","EBAY","eBay Inc.","Information Technology"
"123","ECL","Ecolab Inc.","Materials"
"124","EIX","Edison Int'l","Utilities"
"125","EW","Edwards Lifesciences","Health Care"
"126","EA","Electronic Arts","Information Technology"
"127","EMR","Emerson Electric","Industrials"
"128","ETR","Entergy Corp.","Utilities"
"129","EOG","EOG Resources","Energy"
"130","EQT","EQT Corporation","Utilities"
"131","EFX","Equifax Inc.","Financials"
"132","EQR","Equity Residential","Financials"
"133","EL","Estee Lauder Cos.","Consumer Staples"
"134","EXC","Exelon Corp.","Utilities"
"135","EXPE","Expedia Inc.","Consumer Discretionary"
"136","EXPD","Expeditors Int'l","Industrials"
"137","XOM","Exxon Mobil Corp.","Energy"
